hardware,embedding_index,horizon,method,time,result,threshold
london,1,7,bellman,0.051150,1,0.977590
london,2,3,bellman,0.013610,1,0.499000
london,2,4,bellman,0.017210,1,0.959940
london,2,5,bellman,0.017920,1,0.959940
london,2,6,bellman,0.031750,1,0.975050
london,2,7,bellman,0.032720,1,0.975050
mumbai,0,3,bellman,0.004340,1,0.499000
mumbai,0,4,bellman,0.016160,1,0.959120
mumbai,0,5,bellman,0.021060,1,0.959120
mumbai,0,6,bellman,0.030400,1,0.971920
mumbai,0,7,bellman,0.051360,1,0.971920
mumbai,1,3,bellman,0.042680,1,0.499000
mumbai,1,4,bellman,0.027430,1,0.892510
mumbai,1,5,bellman,0.033340,1,0.892510
mumbai,1,6,bellman,0.045810,1,0.964100
mumbai,1,7,bellman,0.070570,1,0.964100
mumbai,2,3,bellman,0.043100,1,0.499000
mumbai,2,4,bellman,0.027630,1,0.892220
mumbai,2,5,bellman,0.033220,1,0.892220
mumbai,2,6,bellman,0.046160,1,0.963760
mumbai,2,7,bellman,0.071120,1,0.963760
geneva,0,3,bellman,0.047610,1,0.499000
geneva,0,4,bellman,0.029780,1,0.841590
geneva,0,5,bellman,0.035440,1,0.841590
geneva,0,6,bellman,0.049630,1,0.924770
geneva,0,7,bellman,0.075080,1,0.924770
geneva,1,3,bellman,0.005670,1,0.499000
geneva,1,4,bellman,0.031440,1,0.968770
geneva,1,5,bellman,0.033150,1,0.968770
geneva,1,6,bellman,0.051730,1,0.981560
geneva,1,7,bellman,0.053600,1,0.981560
geneva,2,3,bellman,0.005050,1,0.499000
geneva,2,4,bellman,0.029410,1,0.959310
geneva,2,5,bellman,0.031030,1,0.959310
geneva,2,6,bellman,0.048820,1,0.971840
geneva,2,7,bellman,0.050360,1,0.971840
lima,0,3,bellman,0.022730,1,0.499000
lima,0,4,bellman,0.015110,1,0.969810
lima,0,5,bellman,0.020020,1,0.969810
lima,0,6,bellman,0.029930,1,0.988260
lima,0,7,bellman,0.049710,1,0.988260
lima,1,3,bellman,0.004160,1,0.499000
lima,1,4,bellman,0.015690,1,0.967280
lima,1,5,bellman,0.020620,1,0.967280
lima,1,6,bellman,0.029850,1,0.985630
lima,1,7,bellman,0.050820,1,0.985630
lima,2,3,bellman,0.025820,1,0.499000
lima,2,4,bellman,0.016940,1,0.929440
lima,2,5,bellman,0.021870,1,0.929440
lima,2,6,bellman,0.031750,1,0.971490
lima,2,7,bellman,0.052920,1,0.971490
lagos,0,3,bellman,0.022210,1,0.499000
lagos,0,4,bellman,0.015030,1,0.853290
lagos,0,5,bellman,0.020130,1,0.853290
lagos,0,6,bellman,0.029190,1,0.936650
lagos,0,7,bellman,0.049680,1,0.936650
lagos,1,3,bellman,0.023920,1,0.499000
lagos,1,4,bellman,0.016180,1,0.852590
lagos,1,5,bellman,0.021030,1,0.852590
lagos,1,6,bellman,0.030330,1,0.935790
lagos,1,7,bellman,0.051360,1,0.935790
lagos,2,3,bellman,0.014130,1,0.499000
lagos,2,4,bellman,0.017530,1,0.956870
lagos,2,5,bellman,0.018440,1,0.956870
lagos,2,6,bellman,0.032460,1,0.971900
lagos,2,7,bellman,0.033630,1,0.971900
lagos,3,3,bellman,0.028930,1,0.499000
lagos,3,4,bellman,0.018860,1,0.728070
lagos,3,5,bellman,0.024060,1,0.728070
lagos,3,6,bellman,0.034230,1,0.816640
lagos,3,7,bellman,0.056240,1,0.816640
lagos,4,3,bellman,0.028560,1,0.499000
lagos,4,4,bellman,0.018830,1,0.721670
lagos,4,5,bellman,0.024040,1,0.721670
lagos,4,6,bellman,0.034400,1,0.807750
lagos,4,7,bellman,0.056070,1,0.807750
toronto,0,3,bellman,0.044910,1,0.499000
toronto,0,4,bellman,0.028660,1,0.712610
toronto,0,5,bellman,0.034470,1,0.712610
toronto,0,6,bellman,0.047690,1,0.797690
toronto,0,7,bellman,0.073230,1,0.797690
toronto,1,3,bellman,0.006360,1,0.499000
toronto,1,4,bellman,0.036880,1,0.978720
toronto,1,5,bellman,0.038460,1,0.978720
toronto,1,6,bellman,0.058680,1,0.986150
toronto,1,7,bellman,0.060470,1,0.986150
toronto,2,3,bellman,0.006550,1,0.499000
toronto,2,4,bellman,0.036530,1,0.955540
toronto,2,5,bellman,0.038250,1,0.955540
toronto,2,6,bellman,0.058360,1,0.962610
toronto,2,7,bellman,0.060400,1,0.962610
perth,0,3,bellman,0.012170,1,0.499000
perth,0,4,bellman,0.015420,1,0.966040
perth,0,5,bellman,0.016480,1,0.966050
perth,0,6,bellman,0.029990,1,0.989170
perth,0,7,bellman,0.031010,1,0.989170
perth,1,3,bellman,0.011760,1,0.499000
perth,1,4,bellman,0.015110,1,0.964060
perth,1,5,bellman,0.015860,1,0.964060
perth,1,6,bellman,0.029150,1,0.987090
perth,1,7,bellman,0.030300,1,0.987090
perth,2,3,bellman,0.013760,1,0.499000
perth,2,4,bellman,0.017680,1,0.961440
perth,2,5,bellman,0.018410,1,0.961440
perth,2,6,bellman,0.032420,1,0.987490
perth,2,7,bellman,0.033960,1,0.987490
